+--------------------+---------------+--------------+----------+------------------+------+------+------+----------+------------+----------+
|             country|poverty_percent|gdp_per_capita|population|years_of_education|   sex|height|weight|     sport|TieneMedalla|sportIndex|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.59|  47.0|gymnastics|           0|       9.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.58|  51.0|gymnastics|           0|       9.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|female|  1.66|  48.0|gymnastics|           0|       9.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.47|  40.0|gymnastics|           0|       9.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.66|  52.0|gymnastics|           0|       9.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.51|  47.0|gymnastics|           0|       9.0|
|          Uzbekistan|       13.62555|       10381.0|  31441753|              11.4|female|  1.63|  50.0|gymnastics|           0|       9.0|
|              Israel|      0.2413946|       31701.0|   8108984|              13.0|female|  1.68|  52.0|gymnastics|           0|       9.0|
|             Finland|     0.04643161|       37239.0|   5497714|              12.4|female|  1.68|  48.0|gymnastics|           0|       9.0|
|              Greece|        1.05405|       22574.0|  10615183|              10.8|female|   1.7|  55.0|gymnastics|           0|       9.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|   1.5|  42.0|gymnastics|           0|       9.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|female|  1.61|  57.0|gymnastics|           0|       9.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.58|  58.0|gymnastics|           0|       9.0|
|             Ireland|      0.1311761|       56597.0|   4695790|              12.5|female|  1.64|  63.0|gymnastics|           0|       9.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.55|  56.0|gymnastics|           0|       9.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.78|  92.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.76|  80.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.72|  80.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.75|  60.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|   1.7|  73.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|   1.9|  95.0|  shooting|           0|      18.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|  male|  1.75|  70.0|  shooting|           0|      18.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|   1.8| 115.0|  shooting|           0|      18.0|
|                Cuba|          26.54|        8000.0|  11335108|              14.3|  male|  1.69|  75.0|  shooting|           0|      18.0|
|             Austria|      0.6640635|       41445.0|   8747306|              12.1|  male|  1.76|  95.0|  shooting|           0|      18.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.82|  88.0|  shooting|           0|      18.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.74|  80.0|  shooting|           0|      18.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  1.74|  80.0|  shooting|           0|      18.0|
|              Cyprus|     0.04114901|       25577.0|   1170189|              12.1|  male|  1.75|  70.0|  shooting|           0|      18.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|  male|  1.77|  81.0|  shooting|           0|      18.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|  male|   1.7|  69.0|  shooting|           0|      18.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|  male|  1.76|  85.0|  shooting|           0|      18.0|
|            Bulgaria|       1.948435|       17037.0|   7151948|              11.8|  male|   1.7|  75.0|  shooting|           0|      18.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|  male|  1.87|  96.0|  shooting|           0|      18.0|
|        Saudi Arabia|           12.7|       51397.0|  32443443|              16.1|  male|  1.74|  74.0|  shooting|           0|      18.0|
|            Thailand|     0.02727074|       15454.0|  68971313|               7.6|  male|  1.75|  78.0|  shooting|           0|      18.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|  male|  1.72|  77.0|  shooting|           0|      18.0|
|               China|      0.5253779|       12569.0|1414049353|               7.8|  male|   1.8|  75.0|  shooting|           0|      18.0|
|             Tunisia|      0.2461845|       11073.0|  11303942|               7.1|female|  1.73|  60.0|     canoe|           0|      11.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.83|  99.0|     canoe|           0|      11.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.56|  50.0|     canoe|           0|      11.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.83|  72.0|     canoe|           0|      11.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.82|  71.0|     canoe|           0|      11.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.73|  65.0|     canoe|           0|      11.0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|  1.66|  60.0|     canoe|           0|      11.0|
|              France|     0.05812588|       37124.0|  64667590|              11.5|female|  1.68|  64.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.76|  71.0|     canoe|           0|      11.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|female|  1.63|  58.0|     canoe|           0|      11.0|
|             Austria|      0.6640635|       41445.0|   8747306|              12.1|female|  1.72|  64.0|     canoe|           0|      11.0|
|             Ukraine|            0.0|        9214.0|  44713708|              11.3|female|  1.68|  69.0|     canoe|           0|      11.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.58|  59.0|     canoe|           0|      11.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.74|  72.0|     canoe|           0|      11.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.63|  54.0|     canoe|           0|      11.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.66|  64.0|     canoe|           0|      11.0|
|        South Africa|        19.0491|       12139.0|  56207649|              10.1|female|  1.74|  65.0|     canoe|           0|      11.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.78|  95.0|     canoe|           0|      11.0|
|             Germany|            0.0|       44689.0|  82193770|              14.1|female|  1.67|  64.0|     canoe|           0|      11.0|
|             Austria|      0.6640635|       41445.0|   8747306|              12.1|female|  1.74|  65.0|     canoe|           0|      11.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.65|  55.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.65|  55.0|    hockey|           0|       3.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.53|  50.0|    hockey|           0|       3.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.66|  59.0|    hockey|           0|       3.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.73|  65.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.61|  60.0|    hockey|           0|       3.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.58|  53.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.72|  71.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.63|  56.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|   1.8|  66.0|    hockey|           0|       3.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.62|  54.0|    hockey|           0|       3.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.65|  58.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.67|  60.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.64|  54.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.77|  72.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.57|  50.0|    hockey|           0|       3.0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|female|  1.57|  54.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.87|  71.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.72|  57.0|    hockey|           0|       3.0|
|       United States|      0.9993911|       53015.0| 323015992|              13.4|female|  1.66|  58.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.63|  55.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|   1.6|  53.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.71|  58.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|   1.7|  62.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.67|  55.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.66|  61.0|    hockey|           0|       3.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.58|  63.0|    hockey|           0|       3.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.59|  61.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.69|  59.0|    hockey|           0|       3.0|
|               China|      0.5253779|       12569.0|1414049353|               7.8|female|  1.75|  60.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|   1.7|  70.0|    hockey|           0|       3.0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|female|  1.75|  72.0|    hockey|           0|       3.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.67|  64.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.62|  62.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.69|  67.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.75|  71.0|    hockey|           0|       3.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|   1.6|  53.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.59|  55.0|    hockey|           0|       3.0|
|         South Korea|      0.2266651|       36103.0|  50983446|              12.1|female|  1.65|  59.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.65|  55.0|    hockey|           0|       3.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|  1.64|  58.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.69|  55.0|    hockey|           0|       3.0|
|         New Zealand|            7.0|       34295.0|   4659265|              18.8|female|  1.68|  60.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|   1.6|  59.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.79|  70.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|   1.6|  53.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.59|  68.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.68|  64.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.75|  68.0|    hockey|           0|       3.0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|  1.72|  62.0|equestrian|           0|      17.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.68|  55.0|equestrian|           0|      17.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.65|  50.0|equestrian|           0|      17.0|
|         Netherlands|     0.04591711|       45600.0|  16981285|              12.1|female|  1.68|  62.0|equestrian|           0|      17.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|  1.83|  59.0|equestrian|           0|      17.0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|  1.73|  66.0|equestrian|           0|      17.0|
|               Italy|       1.625868|       33419.0|  60663068|              10.2|female|  1.58|  47.0|equestrian|           0|      17.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|female|  1.76|  58.0|equestrian|           0|      17.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|female|   1.6|  50.0|equestrian|           0|      17.0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|female|  1.58|  55.0|equestrian|           0|      17.0|
|            Zimbabwe|       32.36664|        1534.0|  14030338|               8.2|female|  1.61|  51.0|equestrian|           0|      17.0|
|             Ireland|      0.1311761|       56597.0|   4695790|              12.5|female|  1.54|  57.0|equestrian|           0|      17.0|
|             Denmark|       0.278387|       44836.0|   5711346|              12.6|female|   1.7|  68.0|equestrian|           0|      17.0|
|              Sweden|      0.2614527|       44659.0|   9836003|              12.4|female|  1.71|  60.0|equestrian|           0|      17.0|
|             Ireland|      0.1311761|       56597.0|   4695790|              12.5|female|  1.67|  58.0|equestrian|           0|      17.0|
|               Egypt|       2.366573|       11351.0|  94447071|               7.2|female|  1.63|  75.0|  shooting|           0|      18.0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|female|  1.69|  61.0|  shooting|           0|      18.0|
|              Taiwan|            0.0|       42165.0|  23618201|              12.0|female|  1.57|  52.0|  shooting|           0|      18.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|female|  1.57|  51.0|  shooting|           0|      18.0|
|               Japan|      0.7278879|       37465.0| 127763267|              12.7|female|  1.62|  58.0|  shooting|           0|      18.0|
|              Russia|      0.0292134|       23635.0| 145275374|              12.0|female|  1.65|  50.0|  shooting|           0|      18.0|
|              Mexico|       2.158935|       16133.0| 123333379|               8.6|female|  1.65|  85.0|  shooting|           0|      18.0|
|              Poland|    0.004540368|       24838.0|  37989218|              12.2|female|   1.6|  67.0|  shooting|           0|      18.0|
|          San Marino|            6.7|        1700.0|     33503|              13.0|female|  1.69|  73.0|  shooting|           0|      18.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|female|  1.58|  52.0|  shooting|           0|      18.0|
|           Argentina|       1.070877|       18875.0|  43508459|             10.95|female|   1.6|  50.0|  shooting|           0|      18.0|
|             Ecuador|       3.577468|       10527.0|  16491116|               8.7|female|  1.61|  62.0|  shooting|           0|      18.0|
|              Cyprus|     0.04114901|       25577.0|   1170189|              12.1|female|  1.62|  50.0|  shooting|           0|      18.0|
|            Bulgaria|       1.948435|       17037.0|   7151948|              11.8|female|  1.68|  70.0|  shooting|           0|      18.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|female|  1.57|  54.0|  shooting|           0|      18.0|
|          San Marino|            6.7|        1700.0|     33503|              13.0|female|  1.61|  65.0|  shooting|           0|      18.0|
|              Canada|      0.2487137|       43745.0|  36382942|              13.1|  male|  1.82|  81.0|    hockey|           0|       3.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.69|  70.0|    hockey|           0|       3.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.82|  88.0|    hockey|           0|       3.0|
|               India|       12.23808|        6125.0|1324517250|               6.4|  male|  1.78|  70.0|    hockey|           0|       3.0|
|             Ireland|      0.1311761|       56597.0|   4695790|              12.5|  male|  1.78|  76.0|    hockey|           0|       3.0|
|      United Kingdom|      0.2052228|       37334.0|  66297944|              12.9|  male|  1.83|  76.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.83|  78.0|    hockey|           0|       3.0|
|             Belgium|     0.05981615|       38766.0|  11354407|              11.8|  male|  1.85|  82.0|    hockey|           0|       3.0|
|             Belgium|     0.05981615|       38766.0|  11354407|              11.8|  male|  1.78|  75.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|  1.78|  79.0|    hockey|           0|       3.0|
|              Brazil|       3.871028|       13873.0| 206163056|               7.8|  male|  1.73|  74.0|    hockey|           0|       3.0|
|               Spain|       1.169434|       30110.0|  46634131|               9.8|  male|   1.8|  75.0|    hockey|           0|       3.0|
|           Australia|      0.4984838|       48845.0|  24262710|              12.9|  male|  1.82|  87.0|    hockey|           0|       3.0|
